Language Pair,Accuracy,F1-score
Azerbaijani-Arabic,0.9732142857142857,0.9721613881401616
Catalan-Arabic,0.9444444444444444,0.9174603174603173
Chinese-English,0.9421052631578948,0.9328526796443163
English-French,0.9201970443349754,0.9061848890026231
English-German,0.9115646258503401,0.9115646258503401
Finnish-Swedish,0.928,0.9186337010270064
German-French,0.9154411764705882,0.9073926102232801
German-Italian,0.88,0.88
Hindi-Persian,0.9156626506024096,0.9061133881899187
Hungarian-German,0.9074074074074074,0.9135627848499135
Indonesian-Dutch,0.9026217228464419,0.8928780701213048
Kazakh-Russian,0.9478021978021978,0.9410222870654527
Persian-Arabic,0.9278688524590164,0.9154642596402736
Polish-French,0.9365853658536586,0.9281822078424866
Romanian-French,0.9298245614035088,0.920813608653899
Romanian-Hungarian,0.9486301369863014,0.9441042331035199
